file,line,kind,name,steps,terminator,provenance,flags
bs_a1.v,112,Lemma,napp_nil_r,4,Defined,authored,
bs_a1.v,124,Theorem,nlength_napp,5,Defined,authored,
bs_a1.v,135,Theorem,napp_assoc,5,Defined,authored,
bs_a1.v,146,Theorem,nrev_napp,7,Defined,authored,
bs_a1.v,189,Lemma,papp_nil_r,4,Defined,authored,
bs_a1.v,201,Theorem,plength_papp_manual,5,Defined,authored,
bs_a1.v,212,Theorem,papp_assoc_manual,5,Defined,authored,
bs_a1.v,225,Theorem,prev_papp_manual,7,Defined,authored,
bs_a1.v,311,Lemma,plist_nlist_iso,4,Defined,authored,
bs_a1.v,320,Lemma,nlist_plist_iso,4,Defined,authored,
bs_a1.v,333,Definition,R_NatList,5,Defined,authored,
bs_a1.v,357,Lemma,_plength_eq_nlength,5,Defined,authored,
bs_a1.v,367,Lemma,plist_2_nlist_app,6,Defined,authored,
bs_a1.v,378,Lemma,plist_2_nlist_rev,6,Defined,authored,
bs_a1.v,394,Lemma,R__plength,5,Defined,authored,
bs_a1.v,407,Lemma,R__papp,7,Defined,authored,
bs_a1.v,420,Lemma,R__prev,5,Defined,authored,
bs_a1.v,446,Theorem,_plength_papp,2,Qed,authored,
bs_a1.v,451,Theorem,_papp_assoc,2,Qed,authored,
bs_a1.v,456,Theorem,_prev_papp,2,Qed,authored,
bs_a1.v,642,Theorem,zlength_zapp,5,Defined,authored,
bs_a1.v,688,Lemma,zplist_zlist_iso,4,Defined,authored,
bs_a1.v,697,Lemma,zlist_zplist_iso,4,Defined,authored,
bs_a1.v,705,Definition,R_ZList,5,Defined,authored,
bs_a1.v,721,Lemma,_zplength_eq_zlength,5,Defined,authored,
bs_a1.v,731,Lemma,zplist_2_zlist_app,6,Defined,authored,
bs_a1.v,744,Lemma,R__zplength,5,Defined,authored,
bs_a1.v,757,Lemma,R__zpapp,7,Defined,authored,
bs_a1.v,774,Theorem,_zplength_zpapp,2,Qed,authored,
bs_a2.v,91,Lemma,napp_nil_r,4,Defined,authored,
bs_a2.v,101,Theorem,nlength_napp,5,Defined,authored,
bs_a2.v,110,Theorem,napp_assoc,5,Defined,authored,
bs_a2.v,119,Theorem,nrev_napp,7,Defined,authored,
bs_a2.v,128,Theorem,nsum_napp,5,Defined,authored,
bs_a2.v,152,Lemma,papp_nil_r,5,Defined,authored,
